UML ID;Group Name;Parent Company;Mill Name;RSPO Status;RSPO Type;Date RSPO Certification Status;Latitude;Longitude;GPS coordinates;ISO;Country;Province;District;Confidence level;Alternative name
PO1000000105;SIPEF;HARGY OIL PALM LTD;NAVO MILL;RSPO Certified;RSPO Certified, IP;07/10/2024;-5,094109;151,224494;-5.094109, 151.224494;PNG;Papua New Guinea;West New Britain;Talasea;1-Fully Verified;
PO1000000106;MUSIM MAS;SUKAJADI SAWIT MEKAR;SUKAJADI SAWIT MEKAR 1;RSPO Certified;RSPO Certified, IP;07/10/2024;-2,381111;112,539722;-2.381111, 112.539722;IDN;Indonesia;Kalimantan Tengah;Kotawaringin Timur;1-Fully Verified;
PO1000000107;SIME DARBY;SIME INDO AGRO;BUKIT AJONG;RSPO Certified;RSPO Certified, MB;07/10/2024;0,268939;110,482802;0.268939, 110.482802;IDN;Indonesia;Kalimantan Barat;Sanggau;1-Fully Verified;
PO1000000109;IOI CORPORATION;IOI CORPORATION BHD;PAMOL KLUANG;RSPO Certified;RSPO Certified, IP;07/10/2024;2,110445;103,392307;2.110445, 103.392307;MYS;Malaysia;Johor;Keluang;1-Fully Verified;
PO1000000110;IOI CORPORATION;IOI CORPORATION BHD;SAKILAN;RSPO Certified;RSPO Certified, IP;07/10/2024;5,839281;117,8437;5.839281, 117.8437;MYS;Malaysia;Sabah;Sandakan;1-Fully Verified;
PO1000000114;SIME DARBY;SIME DARBY PLANTATION BHD;YONG PENG (SOU 19A);Not RSPO Certified;;07/10/2024;2,058808;103,148394;2.058808, 103.148394;MYS;Malaysia;Johor;Batu Pahat;2-High Confidence;
PO1000000118;IOI CORPORATION;IOI CORPORATION BHD;BATURONG;RSPO Certified;RSPO Certified, IP;07/10/2024;4,7553;118,0886;4.7553, 118.0886;MYS;Malaysia;Sabah;Kunak;2-High Confidence;
PO1000000120;IOI CORPORATION;IOI CORPORATION BHD;BUKIT LEELAU;RSPO Certified;RSPO Certified, IP;07/10/2024;3,30273;103,137889;3.30273, 103.137889;MYS;Malaysia;Pahang;Pekan;1-Fully Verified;
PO1000000122;IOI CORPORATION;IOI CORPORATION BHD;MAYVIN;RSPO Certified;RSPO Certified, IP;07/10/2024;5,5553;117,226439;5.5553, 117.226439;MYS;Malaysia;Sabah;Beluran;1-Fully Verified;
PO1000000123;DAABON GROUP;C.I. TEQUENDAMA S.A.S.;EXTRACTORA TEQUENDAMA;RSPO Certified;RSPO Certified, IP;07/10/2024;10,548547;-74,181286;10.5485472, -74.181286;COL;Colombia;Magdalena;Aracataca;1-Fully Verified;
PO1000000128;JC CHANG (PTE) LTD;CAROTINO SDN BHD;CAROTINO;RSPO Certified;RSPO Certified, IP;07/10/2024;3,816627;102,818213;3.816627, 102.818213;MYS;Malaysia;Pahang;Kuantan;1-Fully Verified;
PO1000000130;WILMAR GROUP;SAPI PLANTATION SDN BHD;TERUSAN;RSPO Certified;RSPO Certified, MB;07/10/2024;5,831514;117,340459;5.831514, 117.340459;MYS;Malaysia;Sabah;Beluran;1-Fully Verified;
PO1000000131;NBPOL;GUADALCANAL PLAINS PALM OIL LTD;TERERE;RSPO Certified;RSPO Certified, IP;07/10/2024;-9,4427;160,2187;-9.4427, 160.2187;SLB;Solomon Islands;Guadalcanal;East Ghaobata;1-Fully Verified;
PO1000000134;MUSIM MAS;SUKAJADI SAWIT MEKAR;SUKAJADI SAWIT MEKAR 2;RSPO Certified;RSPO Certified, IP;07/10/2024;-2,37025;112,602611;-2.37025, 112.6026111;IDN;Indonesia;Kalimantan Tengah;Kotawaringin Timur;1-Fully Verified;
PO1000000137;WILMAR GROUP;SAPI PLANTATION SDN BHD;SAPI;RSPO Certified;RSPO Certified, MB;07/10/2024;5,733519;117,387404;5.733519, 117.387404;MYS;Malaysia;Sabah;Beluran;1-Fully Verified;
